Quadrat,Lat,Long,Elev,MTAnn,Isoth,MnTCP,T_AR,MTWetQ,MTDQ,MTClQ,Pann,PWetP,PSeas,PWrQ,EC,pH,OrgC,NTOT,PTOT,Pav,Kav,Mg,Ca,K,Clay,Silt,Sand,Stype,Sdep,ibra
HY10,-32.6931,119.3403,323,16.3,0.51,4.7,26.6,11.4,20.9,10.5,329,48,44,46,13,6.2,1.64,0.096,80,2,150,0.98,5.21,0.34,1.8,1.7,96.4,5,4,Mallee
HY12,-32.5422,119.3783,310,16.5,0.51,4.7,27,11.5,22.6,10.6,327,48,44,46,29,7.4,2.08,0.115,110,5,540,5.01,8,1.53,2.1,3.9,94.1,4,3,Mallee
HY13,-32.6147,119.1028,342,16.2,0.51,4.5,27.1,11.2,21,10.3,339,51,47,46,18,6.4,0.85,0.034,28,0.2,88,1.18,2.77,0.22,2.8,2.6,94.5,4,2,Mallee
HY14,-32.5572,119.0678,331,16.3,0.51,4.5,27.3,11.3,21.1,10.3,338,51,48,45,19,6.5,0.67,0.034,27,2,120,0.95,3.84,0.31,4.7,3.3,92.1,2,3,Mallee
HY15,-32.7797,119.0759,451,15.5,0.51,4.1,26.5,10.6,20.1,9.6,357,54,47,48,21,6.8,2.25,0.084,37,3,160,3.74,5.59,0.31,4.9,2.9,92.2,4,2,Mallee
HY16,-32.8217,119.0661,409,15.7,0.51,4.3,26.4,10.8,20.2,9.9,350,53,47,47,13,6.6,1.94,0.079,74,5,240,3.54,5.27,0.64,4.3,3.8,91.9,4,2,Mallee
HY17,-32.8246,119.0436,408,15.7,0.51,4.3,26.5,10.8,20.2,9.9,351,53,48,47,4,5.7,0.5,0.021,20,0.2,52,0.21,0.56,0.11,2.9,2.9,94.3,2,2,Mallee
HY18,-32.8219,119.0336,407,15.7,0.51,4.3,26.5,10.8,20.2,9.9,351,53,48,47,10,6.6,0.99,0.048,50,0.2,77,0.64,3.46,0.19,1.2,3.1,95.7,5,7,Mallee
HY19,-32.7305,119.0034,402,15.8,0.51,4.2,26.8,10.9,20.4,9.9,350,53,49,46,69,5.8,2.52,0.065,46,0.2,100,2.95,1.93,0.2,9.8,3.3,86.9,4,1,Mallee
HY21,-32.8175,119.4011,313,16.2,0.52,4.9,26.1,11.5,20.6,10.5,325,47,43,47,37,6.9,2.75,0.124,69,2,470,6.31,8.67,1.31,4.6,5.4,90,4,1,Mallee
HY22,-32.6078,119.3472,366,16.1,0.51,4.5,26.8,11.2,22.2,10.2,337,49,44,48,3,6.1,1.18,0.048,40,0.2,110,0.42,1.7,0.22,2.3,2.3,95.4,2,2,Mallee
HY23,-32.6881,119.0946,357,16.1,0.51,4.4,26.9,11.1,20.7,10.2,341,51,47,46,8,6.6,1.24,0.05,41,3,86,2.29,2.51,0.2,4.3,2.7,92.9,4,1,Mallee
HY24,-32.7022,119.3692,320,16.3,0.51,4.7,26.5,11.4,20.9,10.5,328,48,44,46,33,7.9,2.46,0.124,64,4,300,2.22,13.76,0.74,2.2,2.4,95.4,1,9,Mallee
HY26,-32.7552,119.1314,398,15.8,0.51,4.3,26.6,10.9,20.4,10,346,52,47,47,8,5.8,1.2,0.04,29,0.2,71,0.43,1.44,0.08,3.3,1.6,95.1,2,4,Mallee
HY27,-32.753,119.1109,392,15.8,0.51,4.3,26.6,10.9,20.4,10,346,52,47,47,4,6.2,0.7,0.027,18,0.2,96,0.34,0.88,0.18,3.1,2,94.8,2,1,Mallee
HY28,-32.756,119.1378,396,15.8,0.51,4.3,26.6,10.9,20.4,10,346,52,47,47,3,6.2,0.53,0.026,21,0.2,98,0.36,0.85,0.19,3.7,3.1,93.2,2,1,Mallee
HY29,-32.639,118.9761,398,15.9,0.51,4.2,27.1,10.9,20.7,9.9,350,54,49,46,6,6.7,2.74,0.094,73,2,350,2.98,7.51,0.97,2.5,3.7,93.8,2,1,Mallee
HY30,-32.63,118.9748,398,15.9,0.51,4.2,27.2,10.9,20.7,9.9,350,54,49,46,4,6.2,1.08,0.039,30,0.2,94,0.5,1.74,0.16,2.6,2.7,94.6,4,1,Mallee
HY31,-32.6244,118.9754,398,15.9,0.51,4.2,27.2,10.9,20.7,9.9,350,54,49,46,3,6.2,1.02,0.044,43,0.2,150,0.52,1.82,0.27,2.6,3.3,94.1,2,2,Mallee
