Quadrat,Lat,Long,Elev,MTAnn,Isoth,MnTCP,T_AR,MTWetQ,MTDQ,MTClQ,Pann,PWetP,PSeas,PWrQ,EC,pH,OrgC,NTOT,PTOT,Pav,Kav,Mg,Ca,K,Clay,Silt,Sand,Stype,Sdep,ibra
DA19,-34.0247,117.0328,302,14.7,0.52,5.2,23.6,9.9,19.9,9.9,551,90,63,53,52,6,11.1,0.276,170,7,390,6.41,13.85,0.63,2.1,4.8,93.1,4,2,Jarrah Forest
DA22,-33.6911,117.2489,270,15.2,0.51,5.2,24.7,11,20.8,10.1,479,83,64,43,3,5.8,1.17,0.045,22,0.2,29,0.31,1.54,0.07,1.8,0.9,97.2,1,9,Jarrah Forest
DA23,-33.5955,117.2253,261,15.3,0.51,5.2,25,11.1,21,10.2,466,82,65,42,7,5.7,2.97,0.104,62,2,110,1.4,4.36,0.24,3.6,2.3,94,2,2,Avon Wheatbelt
DA24,-33.4946,117.2546,240,15.6,0.51,5.2,25.3,11.2,21.3,10.3,446,79,65,41,230,6.5,4.14,0.183,110,4,350,13.24,11.18,0.53,5.9,1.5,92.7,4,1,Avon Wheatbelt
DA25,-33.6129,116.6298,310,14.7,0.52,4.2,25.5,9.5,20.4,9.5,601,108,71,44,10,5.3,2.67,0.088,41,3,48,1.22,4.3,0.12,16.6,7.5,75.9,1,9,Jarrah Forest
DA26,-33.6965,117.2421,279,15.2,0.51,5.2,24.7,11,20.7,10.1,483,83,64,43,8,5.7,1.52,0.06,40,2,110,1.32,2.68,0.18,5.8,2.5,91.7,4,1,Jarrah Forest
DA27,-33.4992,117.0668,226,15.5,0.51,5.1,25.4,11.2,21.2,10.3,463,83,67,40,8,6,0.82,0.051,40,2,160,2.37,1.45,0.28,19.6,4.6,75.8,4,1,Jarrah Forest
DN01,-30.3714,115.9843,227,18,0.51,5.5,28.6,12.8,22.7,11.8,431,87,77,46,4,5.7,0.42,0.015,10,3,67,0.13,0.23,0.14,2.3,0.8,96.9,4,4,Swan Coastal Plain
DN02,-30.2586,116.0187,300,17.8,0.5,5.3,28.9,12.5,22.6,11.5,422,85,76,47,5,5.6,0.85,0.047,26,3,73,0.2,0.59,0.16,3.1,4.6,92.3,2,1,Geraldton Sandplains
DN03,-30.1881,116.0316,264,18.1,0.51,5.4,29.1,12.8,22.9,11.7,402,82,76,46,4,6.1,0.54,0.02,20,2,48,0.22,0.94,0.09,1.8,2,96.3,1,9,Geraldton Sandplains
DN04,-30.1558,115.9594,245,18.2,0.51,5.6,29,13,23,11.9,411,85,77,45,11,6.5,1.51,0.077,52,4,180,2.05,4.24,0.39,2.7,2.2,95.2,1,9,Geraldton Sandplains
DN05,-30.0114,115.9011,230,18.5,0.51,5.9,29.1,12.2,23.3,12.2,403,85,79,44,2,6.1,0.56,0.02,12,0.2,20,0.11,0.81,0.02,1.1,1.3,97.6,1,9,Geraldton Sandplains
DN06,-30.0622,115.9198,234,18.4,0.51,5.8,29.1,12.1,23.2,12.1,406,85,78,44,13,7.4,1.11,0.068,89,6,200,0.99,5.1,0.5,5.7,3.7,90.7,4,1,Geraldton Sandplains
DN08,-30.1376,115.7926,279,18.1,0.51,5.7,28.5,11.9,22.6,11.9,460,96,80,44,2,6.3,0.34,0.011,11,0.2,14,0.002,0.46,0.002,2.9,1,96.1,1,2,Geraldton Sandplains
DN09,-30.1919,115.7344,294,17.9,0.51,5.8,28.2,11.8,22.4,11.8,489,102,81,44,3,5.8,0.95,0.022,14,5,24,0.24,1.71,0.04,1.9,1.5,96.7,4,7,Geraldton Sandplains
DN10,-30.0718,115.569,316,18,0.51,6.1,27.9,12,22.3,12,522,113,85,42,3,6,0.74,0.018,1,0.2,27,0.25,1.47,0.06,1.3,1.1,97.6,1,9,Geraldton Sandplains
DN11,-30.0304,115.5536,327,18,0.51,6.1,28,12,22.3,12,522,114,85,42,2,5.9,0.57,0.016,1,0.2,1,0.002,0.56,0.002,2.9,0.7,96.4,1,9,Geraldton Sandplains
DN12,-30.0305,115.5633,325,18,0.51,6.1,28,12,22.3,12,519,113,85,42,2,5.8,0.56,0.016,12,0.2,1,0.002,0.53,0.002,2.7,1.4,95.9,1,9,Geraldton Sandplains
